Variable,Owner,Rotated At,Verified By,Old Revoked At
CLERK_SECRET_KEY,client,03-20-2026 00:51,Don Shammah,03-20-2026 01:00
CLERK_WEBHOOK_SECRET,CLIENT,03-20-2026 00:51,Don Shammah,03-20-2026 01:00
CLERK_TESTING_TOKEN,CLIENT,03-20-2026 01:40,Don Shammah,03-20-2026 01:40
AUTH_SECRET,CLIENT, 03-20-2026 02:32,Don Shammah, 03-20-2026 02:32
GOOGLE_CLIENT_SECRET,CLIENT, 03-20-2026 02:56,Don Shammah, 03-20-2026 02:56
DATABASE_URL,,,,
INTERNAL_API_SECRET,CLIENT, 03-20-2026 04:00,Don Shammah, 03-20-2026 04:00
RESEND_API_KEY,CLIENT, 03-20-2026 04:00,Don Shammah, 03-20-2026 04:00
SMTP_PASSWORD,,,,
REDIS_PASSWORD,,,,
REDIS_URL,,,,
UPSTASH_REDIS_REST_TOKEN,,,,
HCAPTCHA_SECRET_KEY,,,,
AWS_ACCESS_KEY_ID,,,,
AWS_SECRET_ACCESS_KEY,,,,
ENCRYPTION_KEY_V1,,,,
ENCRYPTION_KEY_V2,,,,
AFRICASTALKING_API_KEY,,,,
NEXT_PUBLIC_GEMINI_API_KEY,,,,
